Tarposition(deg)	position(deg)	Current(A)
0.00000000 206.71405029 0.08937077
0.00000000 207.09858704 0.08719495
0.00000000 207.59298706 0.08488706
0.00000000 208.03247070 0.08260645
0.00000000 208.41699219 0.08032116
0.00000000 208.80152893 0.07810672
0.00000000 209.18606567 0.07608657
0.00000000 209.51567078 0.07429569
0.00000000 209.79032898 0.07337464
0.00000000 210.22979736 0.07169639
0.00000000 210.66926575 0.06997717
0.00000000 211.10873413 0.06740738
0.00000000 211.82287598 0.06362004
0.00000000 212.53701782 0.05929189
0.00000000 213.25112915 0.05561196
0.00000000 213.91033936 0.05286701
0.00000000 214.67941284 0.05142740
0.00000000 215.06393433 0.05088685
0.00000000 215.39355469 0.05044859
0.00000000 215.66819763 0.05088445
0.00000000 215.94285583 0.05137308
0.00000000 216.43728638 0.05070011
0.00000000 216.87672424 0.04882473
0.00000000 217.37112427 0.04712626
0.00000000 217.92048645 0.04571778
0.00000000 218.35992432 0.04501786
0.00000000 218.74447632 0.04477886
0.00000000 219.12901306 0.04543974
0.00000000 219.51354980 0.04661279
0.00000000 219.84315491 0.04818283
0.00000000 220.11779785 0.04975744
0.00000000 220.39247131 0.05117101
0.00000000 220.61219788 0.05214593
0.00000000 220.88687134 0.05258701
0.00000000 221.16154480 0.05243340
0.00000000 221.54606628 0.05140290
0.00000000 222.09539795 0.05000710
0.00000000 222.58979797 0.04878588
0.00000000 223.19406128 0.04814732
0.00000000 223.90821838 0.04777592
0.00000000 224.29273987 0.04726137
0.00000000 224.67726135 0.04671175
0.00000000 225.11674500 0.04675310
0.00000000 225.33645630 0.04713656
0.00000000 225.55621338 0.04791657
0.00000000 225.72099304 0.04831992
0.00000000 226.05058289 0.04825999
0.00000000 226.49008179 0.04741863
0.00000000 226.87460327 0.04584745
0.00000000 227.47885132 0.04391709
0.00000000 227.91833496 0.04276500
0.00000000 228.41275024 0.04225637
0.00000000 228.79727173 0.04254633
0.00000000 229.12686157 0.04299777
0.00000000 229.45645142 0.04348338
0.00000000 229.78605652 0.04397593
0.00000000 230.00581360 0.04503419
0.00000000 230.17059326 0.04594655
0.00000000 230.33537292 0.04686244
0.00000000 230.55511475 0.04763748
0.00000000 230.66497803 0.04837597
0.00000000 230.82981873 0.04943492
0.00000000 230.99459839 0.05077439
0.00000000 231.15939331 0.05184690
0.00000000 231.43405151 0.05296944
0.00000000 231.70874023 0.05405175
0.00000000 232.03833008 0.05426495
0.00000000 232.42285156 0.05392288
0.00000000 232.80740356 0.05321376
0.00000000 233.19192505 0.05219776
0.00000000 233.57646179 0.05141071
0.00000000 233.85112000 0.05078265
0.00000000 234.12579346 0.05013013
0.00000000 234.40045166 0.04962739
0.00000000 234.67512512 0.04905989
0.00000000 235.11460876 0.04851954
