Tarposition(deg)	position(deg)	Current(A)	Tarposition2(deg)	position2(deg)	Current2(A)
61.00000000 920.90209961 0.00172577 0.00000000 0.00000000 0.00000000
62.00000000 924.85729980 0.00183182 0.00000000 0.00000000 0.00000000
63.00000000 929.63647461 0.00096650 0.00000000 0.00000000 0.00000000
64.00000000 936.72290039 0.00044399 0.00000000 0.00000000 0.00000000
65.00000000 942.43603516 0.00135571 0.00000000 0.00000000 0.00000000
66.00000000 948.80828857 0.00337144 0.00000000 0.00000000 0.00000000
67.00000000 958.09204102 0.00508834 0.00000000 0.00000000 0.00000000
68.00000000 966.71655273 0.00658233 0.00000000 0.00000000 0.00000000
69.00000000 975.06640625 0.00807005 0.00000000 0.00000000 0.00000000
70.00000000 983.41632080 0.00915576 0.00000000 0.00000000 0.00000000
71.00000000 992.04077148 0.01077530 0.00000000 0.00000000 0.00000000
72.00000000 1007.03753662 0.01159522 0.00000000 0.00000000 0.00000000
73.00000000 1016.59588623 0.01235758 0.00000000 0.00000000 0.00000000
74.00000000 1026.97839355 0.01330978 0.00000000 0.00000000 0.00000000
75.00000000 1037.08605957 0.01261221 0.00000000 0.00000000 0.00000000
76.00000000 1049.55603027 0.01237399 0.00000000 0.00000000 0.00000000
77.00000000 1060.87219238 0.01349001 0.00000000 0.00000000 0.00000000
78.00000000 1071.80395508 0.01269238 0.00000000 0.00000000 0.00000000
79.00000000 1088.55871582 0.01352859 0.00000000 0.00000000 0.00000000
80.00000000 1100.47912598 0.01382778 0.00000000 0.00000000 0.00000000
81.00000000 1115.31115723 0.01556684 0.00000000 0.00000000 0.00000000
82.00000000 1127.50634766 0.01472075 0.00000000 0.00000000 0.00000000
83.00000000 1139.37194824 0.01435964 0.00000000 0.00000000 0.00000000
84.00000000 1151.29235840 0.01506057 0.00000000 0.00000000 0.00000000
85.00000000 1165.68505859 0.01535832 0.00000000 0.00000000 0.00000000
86.00000000 1177.71545410 0.01496870 0.00000000 0.00000000 0.00000000
87.00000000 1190.45996094 0.01661019 0.00000000 0.00000000 0.00000000
88.00000000 1204.02844238 0.01575286 0.00000000 0.00000000 0.00000000
89.00000000 1217.15747070 0.01828406 0.00000000 0.00000000 0.00000000
90.00000000 1232.20922852 0.01943577 0.00000000 0.00000000 0.00000000
91.00000000 1245.39318848 0.02047485 0.00000000 0.00000000 0.00000000
92.00000000 1258.63220215 0.02132150 0.00000000 0.00000000 0.00000000
93.00000000 1273.13452148 0.02047513 0.00000000 0.00000000 0.00000000
94.00000000 1287.91149902 0.02171695 0.00000000 0.00000000 0.00000000
95.00000000 1302.74365234 0.02163775 0.00000000 0.00000000 0.00000000
